Time,SPY,AGG,VWO,EFA,BNDX,GLD
30-Dec-2018,245.172668457031,102.381126403809,37.3326034545898,57.1798782348633,52.1727676391602,121.440002441406
06-Jan-2019,251.574234008789,102.246772766113,38.216438293457,58.2488403320312,52.1150894165039,121.800003051758
13-Jan-2019,258.84033203125,102.054847717285,38.9561767578125,59.2509956359863,52.2689056396484,121.019996643066
20-Jan-2019,258.179779052734,102.371520996094,39.3884887695312,59.3368911743164,52.5188636779785,122.860000610352
27-Jan-2019,262.337371826172,102.906455993652,39.8400192260742,59.8045616149902,52.6669006347656,124.5
03-Feb-2019,262.735656738281,103.262390136719,39.3692741394043,59.1937255859375,52.820873260498,124.209999084473
10-Feb-2019,269.438354492188,103.223915100098,39.2539978027344,60.7208099365234,52.8304901123047,124.800003051758
17-Feb-2019,271.15771484375,103.320098876953,40.1954689025879,61.1980323791504,52.9555931091309,125.5
24-Feb-2019,272.401123046875,102.835807800293,40.0321502685547,61.6752471923828,52.7400016784668,121.879997253418
03-Mar-2019,266.611572265625,103.607345581055,39.5037727355957,60.5776519775391,53.2311897277832,122.839996337891
10-Mar-2019,274.469360351562,103.867729187012,40.8967781066895,62.2479057312012,53.2600898742676,122.970001220703
17-Mar-2019,272.459442138672,104.754974365234,40.2050819396973,61.3793716430664,53.654956817627,123.970001220703
24-Mar-2019,275.610931396484,105.188972473145,40.9096832275391,61.9043083190918,53.7127380371094,122.01000213623
31-Mar-2019,281.552825927734,104.784873962402,42.209171295166,63.2309646606445,53.6095924377441,121.980003356934
07-Apr-2019,283.104156494141,104.668869018555,42.0936622619629,63.4123115539551,53.6095924377441,121.830001831055
14-Apr-2019,282.967559814453,104.591529846191,42.3631820678711,63.6318244934082,53.5903129577637,120.370002746582
21-Apr-2019,286.275115966797,105.094223022461,41.8337669372559,63.4218482971191,53.7734718322754,121.370002746582
28-Apr-2019,286.880004882812,104.987922668457,42.1514167785645,63.9372444152832,53.7937088012695,120.650001525879
05-May-2019,281.094207763672,105.30770111084,40.129997253418,62.3528900146484,53.8516082763672,121.430000305176
12-May-2019,278.88916015625,105.656555175781,38.5706214904785,61.8184051513672,54.0735359191895,120.650001525879
19-May-2019,275.903594970703,106.02481842041,38.3588485717773,61.8279495239258,54.2279319763184,121.300003051758
26-May-2019,268.576202392578,106.984191894531,39.1192893981934,60.5108413696289,54.4884452819824,123.330001831055
02-Jun-2019,280.655120849609,107.363006591797,39.3406791687012,62.5724029541016,54.8786430358887,126.589996337891
09-Jun-2019,282.226043701172,107.401870727539,39.2347946166992,62.1906394958496,54.9752235412598,126.559997558594
16-Jun-2019,288.245910644531,107.936103820801,41.0365715026855,63.7370223999023,55.2263450622559,131.979995727539
23-Jun-2019,287.265441894531,108.159515380859,41.2207183837891,64.0880279541016,55.3422393798828,133.199996948242
30-Jun-2019,292.618591308594,108.151710510254,41.5114898681641,64.5170288085938,55.6467704772949,132.139999389648
07-Jul-2019,294.765747070312,107.859657287598,41.4242553710938,64.1562805175781,55.3180770874023,133.529998779297
14-Jul-2019,291.353912353516,108.229629516602,41.4339447021484,63.8735237121582,55.7627868652344,134.470001220703
21-Jul-2019,296.09912109375,108.268547058105,41.3079528808594,63.86376953125,55.9078063964844,133.639999389648
28-Jul-2019,286.892883300781,109.244171142578,39.3598289489746,62.1087379455566,56.2889366149902,135.889999389648
04-Aug-2019,285.912475585938,109.917488098145,38.8558349609375,61.3677177429199,56.5695686340332,141.259994506836
11-Aug-2019,283.196716308594,110.922592163086,38.5166130065918,60.6949577331543,57.1695175170898,142.779998779297
18-Aug-2019,279.275024414062,111.029960632324,38.0610809326172,60.4122009277344,56.9856605529785,144.169998168945
