rank	title	composer	category	year	stars
2324	Summer Evening (Nyári Este)	Zoltán Kodály	Unsorted Orchestral	1906	0
2325	4 Nouvelles Sonatines, Op. 87	Charles Koechlin	Piano Sonata	1924	0
2326	12 Microludes for String Quartet, Op. 13	György Kurtág	String Quartet	1977	0
2327	Cello Concerto	Witold Lutosławski	Cello Concerto	1970	0
2328	Silvano	Pietro Mascagni	Opera	1895	0
2329	La Nativité du Seigneur	Olivier Messiaen	Organ	1935	0
2330	String Quartet No. 13 in A Minor, Op. 86	Nikolai Myaskovsky	String Quartet	1949	0
2331	.....sofferte onde serene…	Luigi Nono	Unsorted Chamber	1976	0
2332	Le Bal Masqué, FP 60	Francis Poulenc	Voice and Orchestra	1932	0
2333	Tel jour telle nuit, FP 86	Francis Poulenc	Lieder / Song	1937	0
2334	Piano Trio in C Minor, Op. 45	Gabriel Pierné	Piano Trio	1920	0
2335	Symphony No. 3	Einojuhani Rautavaara	Symphony	1960	0
2336	Trumpet Sonata	Paul Hindemith	Unsorted Chamber	1939	0
2337	When Lilacs Last in the Dooryard Bloom'd	Paul Hindemith	Choral orchestral	1946	0
2338	Nomos Alpha	Iannis Xenakis	String solo	1965	0
2339	Shaar	Iannis Xenakis	Unsorted Orchestral	1983	0
2340	Cosmic Pulses	Karlheinz Stockhausen	Unsorted Orchestral	2007	0
2341	Symphony No. 6	Allan Pettersson	Symphony	1966	0
2342	Six Pianos	Steve Reich	Unsorted Chamber	1973	0
2343	Matka (Mother)	Alois Hába	Opera	1929	0
2344	Anthoni usque limina	Antoine Busnois	Chant		0
2345	Magnificat	Pierre de la Rue	Chant		0
2346	Symphony No. 2 in F Major, Op. 81	Giuseppe Martucci	Symphony		0
2347	String Quartet No. 1 in E-flat Major, Op. 12	Felix Mendelssohn	String Quartet	1829	0
2348	Béatrice et Bénédict, H 138	Hector Berlioz	Opera	1862	0
2349	La voix humaine, FP 171	Francis Poulenc	Opera	1958	0
2350	Albert Herring	Benjamin Britten	Opera	1947	0
2351	6 Épigraphes antiques, L. 131	Claude Debussy	Piano duet / Piano four hands	1914	0
2352	String Quartet No. 2	Ernest Bloch	String Quartet	1945	0
2353	Two Pieces for Small Orchestra	Frederick Delius	Unsorted Orchestral	1912	0
2354	String Quartet No. 4	Sofia Gubaidulina	String Quartet	1993	0
2355	Symphony No. 43 in E-flat Major (Mercury), Hob. I/43	Joseph Haydn	Symphony	1771	0
2356	Nobilissima Visione	Paul Hindemith	Ballet	1938	0
2357	Symphony No. 34 in C Major, K. 338	Wolfgang Amadeus Mozart	Symphony	1780	0
2358	Mass No. 2 in G Major, D. 167	Franz Schubert	Mass / Requiem	1815	0
2359	Violin Sonata in A Minor, D. 385	Franz Schubert	Violin Sonata	1816	0
2360	String Quartet No. 4, Op. 25	Alexander von Zemlinsky	String Quartet	1936	0
2361	Symphony No. 4 (Symphonie Concertante), Op. 60	Karol Szymanowski	Symphony	1932	0
2362	Lieder (5 Songs), Op. 94	Johannes Brahms	Lieder / Song	1884	0
2363	Sonatina Seconda, BV 259	Ferruccio Busoni	Piano Sonata	1912	0
2364	Symphonia: Sum Fluxae Pretium Spei	Elliott Carter	Unsorted Orchestral	1995	0
2365	A Young Man's Exhortation, Op. 14	Gerald Finzi	Lieder / Song	1929	0
2366	Introit, Op. 6	Gerald Finzi	Violin Concerto	1925	0
2367	Piano Trio in F Major, Op. 42	Niels Gade	Piano Trio		0
2368	Hyperion	Georg Friedrich Haas	Unsorted Orchestral	2006	0
2369	Die tote Stadt, Op. 12	Erich Wolfgang Korngold	Opera	1920	0
2370	The Sea Hawk	Erich Wolfgang Korngold	Unsorted Orchestral	1940	0
2371	Le roi d'Ys	Édouard Lalo	Opera	1888	0
2372	Nonsense Madrigals	György Ligeti	Voice and Orchestra	1993	0
