rank	title	composer	category	year	stars
423	The Unanswered Question	Charles Ives	Unsorted Orchestral	1908	8
424	Variations on a Theme of Paganini, Op. 35	Johannes Brahms	Piano Sonata	1863	8
425	Lux Aeterna	György Ligeti	Chant	1966	8
426	Piano Concerto, Op. 42	Arnold Schoenberg	Piano Concerto	1942	8
427	Variations on a Rococo Theme, Op. 33	Pyotr Ilyich Tchaikovsky	Cello Concerto	1877	8
428	Piano Quintet	Alfred Schnittke	Piano Quintet	1976	8
429	Introduction and Allegro (Introduction et allegro pour harpe, flûte, clarinette et quatuor)	Maurice Ravel	Septet	1905	8
430	Clarinet Sonata in E-flat Major, Op. 120 No. 2	Johannes Brahms	Clarinet Sonata	1894	8
431	Piano Trio in D Major (Ghost), Op. 70 No. 1	Ludwig van Beethoven	Piano Trio	1808	8
432	Cavalleria Rusticana	Pietro Mascagni	Opera	1888	8
433	Christmas Oratorio (Weihnachts-Oratorium), BWV 248	Johann Sebastian Bach	Choral orchestral	1734	8
434	Giulio Cesare in Egitto (Giulio Cesare), HWV 17	George Frideric Handel	Opera	1724	8
435	Symphony No. 2 in B Minor	Alexander Borodin	Symphony	1876	8
436	Mazurkas	Frédéric Chopin	Piano Sonata	1849	8
437	Dichterliebe, Op. 48	Robert Schumann	Lieder / Song	1840	8
438	Violin Concerto No. 2, Sz. 112	Béla Bartók	Violin Concerto	1938	8
439	Piano Concerto No. 1 in G Minor, Op. 25	Felix Mendelssohn	Piano Concerto	1831	8
440	13 Preludes, Op. 32	Sergei Rachmaninoff	Piano Sonata	1910	8
441	12 Concerti grossi, Op. 6	Arcangelo Corelli	Unsorted Orchestral	1712	8
442	Lachrimae, or Seaven Teares	John Dowland	Unsorted Chamber		8
443	Trois morceaux en forme de poire (Three Pieces in the Form of a Pear)	Erik Satie	Piano duet / Piano four hands	1903	8
444	Violin Concerto No. 4 in D Minor, MS 60	Niccolò Paganini	Violin Concerto	1829	8
445	Piano Sonata No. 18 in G Major (Fantasie), D. 894	Franz Schubert	Piano Sonata	1826	8
446	La forza del destino (The Power of Fate)	Giuseppe Verdi	Opera	1862	8
447	Gayane	Aram Khachaturian	Ballet	1942	8
448	Vers la flamme (Toward the flame), Op. 72	Alexander Scriabin	Piano Sonata	1914	8
449	Morceaux de fantaisie, Op. 3	Sergei Rachmaninoff	Piano Sonata	1892	8
450	Die Forelle (The Trout), D. 550	Franz Schubert	Lieder / Song	1817	8
451	Requiem	György Ligeti	Mass / Requiem	1965	8
452	Serenade for Strings in E Minor, Op. 20	Edward Elgar	Unsorted Orchestral	1892	8
453	Symphony No. 9 in E-flat Major, Op. 70	Dmitri Shostakovich	Symphony	1945	8
454	Cello Concerto in A Minor, Op. 129	Robert Schumann	Cello Concerto	1850	7
455	Piano Trio in A Minor	Maurice Ravel	Piano Trio	1914	7
456	Six Partitas (Clavier-Übung I), BWV 825-830	Johann Sebastian Bach	Piano Sonata	1730	7
457	Symphony No. 39 in E-flat Major, K. 543	Wolfgang Amadeus Mozart	Symphony	1788	7
458	Concerti grossi, Op. 6 (Twelve Grand Concertos), HWV 319–330	George Frideric Handel	Unsorted Orchestral	1739	7
459	Douce Dame Jolie	Guillaume de Machaut	Lieder / Song		7
460	Piano Trio No. 2 in E Minor, Op. 67	Dmitri Shostakovich	Piano Trio	1944	7
461	Jesu, meine Freude, BWV 227	Johann Sebastian Bach	Choral orchestral	1727	7
462	Cello Sonata in A Minor, Op. 36	Edvard Grieg	Cello Sonata	1883	7
463	Metamorphosen	Richard Strauss	Unsorted Orchestral	1945	7
464	String Quartet No. 16 in F Major, Op. 135	Ludwig van Beethoven	String Quartet	1826	7
465	Diabelli Variations, Op. 120	Ludwig van Beethoven	Piano Sonata	1823	7
466	The Sorcerer's Apprentice (L'apprenti sorcier)	Paul Dukas	Symphonic Poem	1897	7
467	Musica notturna delle strade di Madrid, G. 324	Luigi Boccherini	String Quintet	1780	7
468	Requiem in C Minor	Luigi Cherubini	Mass / Requiem	1816	7
469	Missa Papae Marcelli	Giovanni Pierluigi da Palestrina	Mass / Requiem		7
470	Violin Concerto in D Minor	Robert Schumann	Violin Concerto	1850	7
471	Symphony in D Minor	César Franck	Symphony	1888	7
472	Don Juan, Op. 20	Richard Strauss	Symphonic Poem	1888	7
473	In the Steppes of Central Asia	Alexander Borodin	Symphonic Poem	1880	7
474	Giselle	Adolphe Adam	Ballet	1841	7
475	Islamey, Oriental Fantasy, Op. 18	Mily Balakirev	Piano Sonata	1869	7
476	Symphonia Armonie Celestium Revelationum	Hildegard of Bingen	Chant		7
477	Roses From the South (Rosen aus dem Süden), Op. 388	Johann Strauss II	Unsorted Orchestral	1880	7
478	Flute Sonata, FP 164	Francis Poulenc	Flute Sonata	1957	7
479	Symphony No. 3 in E-flat Major (Rhenish), Op. 97	Robert Schumann	Symphony	1850	7
480	Faust Symphony, S. 108	Franz Liszt	Symphony	1854	7
481	Lakmé	Léo Delibes	Opera	1882	7
482	The Miraculous Mandarin, Sz. 73 (BB 82)	Béla Bartók	Ballet	1924	7
483	Im Frühling (In Spring), D. 882	Franz Schubert	Lieder / Song	1826	7
484	West Side Story	Leonard Bernstein	Unsorted Orchestral	1957	7
485	O Magnum Mysterium	Giovanni Pierluigi da Palestrina	Chant		7
486	5 Poèmes de Baudelaire	Claude Debussy	Lieder / Song	1889	7
487	Lute Works, BWV 995-1000 & BWV 1006a	Johann Sebastian Bach	String solo		7
488	Romanian Folk Dances, Sz. 56, BB 68	Béla Bartók	Piano Sonata	1915	7
489	Präludium und Fuge über den Namen BACH, S. 260	Franz Liszt	Organ	1855	7
490	Piano Concerto	György Ligeti	Piano Concerto	1988	7
491	Estampes (Prints), L. 100	Claude Debussy	Piano Sonata	1903	7
492	Scythian Suite, Op. 20	Sergei Prokofiev	Unsorted Orchestral	1915	7
493	Piano Sonata No. 7 (White Mass), Op. 64	Alexander Scriabin	Piano Sonata	1911	7
494	Piano Concerto No. 1 in E-flat Major, S. 124	Franz Liszt	Piano Concerto	1849	7
495	Piano Concerto No. 2 in B-flat Major, Op. 19	Ludwig van Beethoven	Piano Concerto	1789	7
496	String Quintet No. 4 in G Minor, K. 516	Wolfgang Amadeus Mozart	String Quintet	1787	7
497	Clarinet Sonata in E-flat Major, Op. 167	Camille Saint-Saëns	Clarinet Sonata	1921	7
498	Piano Sonata No. 1 in F Minor, Op. 2 No. 1	Ludwig van Beethoven	Piano Sonata	1795	7
499	Symphony No. 5 in B-flat Major, Op. 100	Sergei Prokofiev	Symphony	1944	7
500	Symphony No. 1 in D Major (Classical Symphony), Op. 25	Sergei Prokofiev	Symphony	1917	7
501	Symphony No. 82 in C Major (Bear Symphony), H. 1/82	Joseph Haydn	Symphony	1786	7
502	Bluebeard's Castle, Sz. 48	Béla Bartók	Opera	1917	6
503	Iberia	Isaac Albéniz	Piano Sonata	1909	6
504	Variations on a Theme by Joseph Haydn	Johannes Brahms	Unsorted Orchestral	1873	6
505	Piano Trio in E-flat Major (Notturno), D. 897	Franz Schubert	Piano Trio	1827	6
506	French Suites, BWV 812–817	Johann Sebastian Bach	Piano Sonata	1725	6
507	Cello Concerto No. 9 in B-flat Major, G. 482	Luigi Boccherini	Cello Concerto		6
508	Clarinet Concerto No. 2 in E-flat Major, Op. 74	Carl Maria von Weber	Wind Concerto	1811	6
509	Élégie, Op. 24	Gabriel Fauré	Cello Sonata	1880	6
510	Piano Trio No. 1 in D Minor, Op. 32	Anton Arensky	Piano Trio	1894	6
511	Piano Sonata No. 14 in C Minor, K. 457	Wolfgang Amadeus Mozart	Piano Sonata	1784	6
512	Madrigals, Book 5 (Il Quinto Libro de Madrigali), SV 94–106	Claudio Monteverdi	Voice and Orchestra		6
513	Piano Concerto No. 27 in B-flat Major, K. 595	Wolfgang Amadeus Mozart	Piano Concerto	1791	6
514	Double Concerto in A Minor, Op. 102	Johannes Brahms	Double Concerto	1887	6
515	Violin Concerto No. 2 in G Minor, Op. 63	Sergei Prokofiev	Violin Concerto	1935	6
516	Eugene Onegin, Op. 24	Pyotr Ilyich Tchaikovsky	Opera	1878	6
517	Trumpet Concerto in E Major	Johann Nepomuk Hummel	Wind Concerto	1803	6
518	Piano Trio in A Minor, Op. 50	Pyotr Ilyich Tchaikovsky	Piano Trio	1882	6
519	Fanfare for the Common Man	Aaron Copland	Unsorted Orchestral	1942	6
520	Piano Concerto No. 1 in C Minor, Op. 35	Dmitri Shostakovich	Piano Concerto	1933	6
521	String Quartet No. 1 in D Major, Op. 11	Pyotr Ilyich Tchaikovsky	String Quartet	1871	6
522	Pulcinella	Igor Stravinsky	Ballet	1920	6
523	Fantasia in C Minor, K. 475	Wolfgang Amadeus Mozart	Piano Sonata	1785	6
524	Piano Sonata No. 9 (Black Mass Sonata), Op. 68	Alexander Scriabin	Piano Sonata	1913	6
525	Sonata for Solo Cello, Op. 8	Zoltán Kodály	String solo	1915	6
526	Pièces froides	Erik Satie	Piano Sonata	1897	6
527	String Quartet No. 3 in F Major, Op. 73	Dmitri Shostakovich	String Quartet	1946	6
528	Études	György Ligeti	Piano Sonata	2001	6
529	Kinderszenen, Op. 15	Robert Schumann	Piano Sonata	1838	6
530	Horn Concerto No. 4 in E-flat Major, K. 495	Wolfgang Amadeus Mozart	Wind Concerto	1786	6
531	Violin Sonatas, Op. 5	Arcangelo Corelli	Violin Sonata	1700	6
532	The Musical Offering (Musikalisches Opfer), BWV 1079	Johann Sebastian Bach	Piano Sonata	1747	6
533	Fidelio, Op. 72	Ludwig van Beethoven	Opera	1805	6
534	Porgy and Bess	George Gershwin	Opera	1934	6
535	The Water Goblin (Vodník), Op. 107 (B. 195)	Antonín Dvořák	Symphonic Poem	1896	6
536	Orgelbüchlein (Little Organ Book), BWV 599−644	Johann Sebastian Bach	Organ	1717	6
537	Violin Concerto No. 2 in D Minor, Op. 22	Henryk Wieniawski	Violin Concerto	1862	6
538	Dixit Dominus, RV 595	Antonio Vivaldi	Choral orchestral		6
539	Dixit Dominus, RV 594	Antonio Vivaldi	Choral orchestral		6
540	Piano Concerto No. 1, Sz. 83, BB 91	Béla Bartók	Piano Concerto	1926	6
541	Piano Trio No. 1 in F-sharp Minor, Op. 1	César Franck	Piano Trio	1840	6
542	Spartacus	Aram Khachaturian	Ballet	1954	6
543	Bagatelles, Op. 126	Ludwig van Beethoven	Piano Sonata		6
544	Sonata for Solo Cello	György Ligeti	String solo	1953	6
545	Romance in F Minor, Op. 11, B. 39	Antonín Dvořák	Violin Concerto	1877	6
546	Violin Sonata No. 27 in G Major, K. 379/373a	Wolfgang Amadeus Mozart	Violin Sonata	1781	6
547	Choir Concerto	Alfred Schnittke	Chant	1985	6
548	Solomon, HWV 67	George Frideric Handel	Choral orchestral	1748	6
549	Violin Concerto No. 1	Philip Glass	Violin Concerto	1987	6
550	Goyescas (Los Majos Enamorados), Op. 11	Enrique Granados	Piano Sonata	1911	6
551	Piano Concerto No. 1 in D-flat Major, Op. 10	Sergei Prokofiev	Piano Concerto	1912	6
552	King Arthur, Z. 628	Henry Purcell	Opera	1691	6
553	Rinaldo, HWV 7	George Frideric Handel	Opera	1711	6
554	Piano Sonata No. 18, Op. 31 No. 3	Ludwig van Beethoven	Piano Sonata	1802	6
555	Choral Fantasy in C Minor (Chorphantasie), Op. 80	Ludwig van Beethoven	Voice and Orchestra	1808	6
556	The Photographer	Philip Glass	Voice and Orchestra	1982	6
557	Electric Counterpoint	Steve Reich	Unsorted Orchestral	1987	6
558	Piano Sonata No. 2 in B-flat Minor, Op. 36	Sergei Rachmaninoff	Piano Sonata	1913	6
559	12 Spanish Dances (Danzas Españolas), Op. 37	Enrique Granados	Piano Sonata	1890	6
560	Macbeth	Giuseppe Verdi	Opera	1847	6
561	Mazeppa	Franz Liszt	Symphonic Poem	1851	6
562	Piano Sonata No. 15 in D Major (Pastorale), Op. 28	Ludwig van Beethoven	Piano Sonata	1801	6
563	Toccatas, BWV 910-916	Johann Sebastian Bach	Piano Sonata		6
564	Piano Concerto No. 2 in A Major, S. 125	Franz Liszt	Piano Concerto	1840	6
565	Festive Overture in A Major, Op. 96	Dmitri Shostakovich	Unsorted Orchestral	1954	6
566	Symphony No. 10	Gustav Mahler	Symphony	1910	6
567	In a Landscape	John Cage	Piano Sonata	1948	6
568	Piano Trio in G Minor, Op. 17	Clara Schumann	Piano Trio	1846	6
569	Symphony No. 2 in C Minor (Little Russian), Op. 17	Pyotr Ilyich Tchaikovsky	Symphony	1872	6
570	Double Concerto for Two String Orchestras, Piano, and Timpani, H. 271	Bohuslav Martinů	Unsorted Orchestral	1938	6
571	Symphony No. 29 in A Major, K. 201/186a	Wolfgang Amadeus Mozart	Symphony	1774	6
572	Piano Concerto in F	George Gershwin	Piano Concerto	1925	6
573	Lemminkäinen Suite, Op. 22	Jean Sibelius	Unsorted Orchestral	1895	6
574	Piano Sonata No. 4 in E-flat Major (Grand Sonata), Op. 7	Ludwig van Beethoven	Piano Sonata	1796	6
575	Symphony No. 45 in F-sharp Minor (Farewell), Hob. I/45	Joseph Haydn	Symphony	1772	6
576	Symphony in C	Igor Stravinsky	Symphony	1940	6
577	Piano Quintet in G Minor, Op. 57	Dmitri Shostakovich	Piano Quintet	1940	5
578	Russian Easter Festival Overture, Op. 36	Nikolai Rimsky-Korsakov	Unsorted Orchestral	1888	5
579	Oboe Concerto in C Major, K. 314	Wolfgang Amadeus Mozart	Wind Concerto	1777	5
580	Sederunt Principes	Pérotin	Chant		5
581	Violin Concerto in D Minor	Aram Khachaturian	Violin Concerto	1940	5
582	Amériques	Edgard Varèse	Unsorted Orchestral	1921	5
583	Piano Quintet in F Minor, Op. 7	César Franck	Piano Quintet	1880	5
584	Piano Sonata No. 20 in A Major, D. 959	Franz Schubert	Piano Sonata	1828	5
585	Così fan tutte, K. 588	Wolfgang Amadeus Mozart	Opera	1790	5
586	Clarinet Concerto	Aaron Copland	Wind Concerto	1949	5
587	Romanian Rhapsodies, Op. 11	George Enescu	Unsorted Orchestral	1901	5
588	Viderunt Omnes	Pérotin	Chant		5
589	Cello Sonata No. 3 in A Major, Op. 69	Ludwig van Beethoven	Cello Sonata	1808	5
590	Piano Trio No. 1 in B-flat Major, D. 898	Franz Schubert	Piano Trio	1827	5
591	Norma	Vincenzo Bellini	Opera	1831	5
592	Chromatic Fantasia and Fugue in D Minor, BWV 903	Johann Sebastian Bach	Piano Sonata	1723	5
593	Violin Concerto No. 4 in D Major, K. 218	Wolfgang Amadeus Mozart	Violin Concerto	1775	5
594	Violin Concerto in A Minor, 53 (B.108)	Antonín Dvořák	Violin Concerto	1879	5
595	Cello Sonata, Op. 104	Johann Nepomuk Hummel	Cello Sonata	1824	5
596	Fantasie in C Major, D. 934	Franz Schubert	Violin Sonata	1827	5
597	Cantus in Memoriam Benjamin Britten	Arvo Pärt	Unsorted Orchestral	1977	5
598	Fantasia No. 3 in D Minor, K. 397/385g	Wolfgang Amadeus Mozart	Piano Sonata	1782	5
599	Divertimento in E-flat Major, K. 563	Wolfgang Amadeus Mozart	String Trio	1788	5
600	Six Sonatas for Violin and Harpsichord, BWV 1014–1019	Johann Sebastian Bach	Violin Sonata	1723	5
601	Violin Concerto in D Major, Op. 35	Erich Wolfgang Korngold	Violin Concerto	1945	5
602	Symphony No. 5 in B-flat Major (Tragic), WAB 105	Anton Bruckner	Symphony	1876	5
603	Septet in E-flat Major, Op. 65	Camille Saint-Saëns	Septet	1880	5
604	Symphony No. 36 in C Major (Linz Symphony), K. 425	Wolfgang Amadeus Mozart	Symphony	1783	5
605	String Quartet No. 12 in C Minor (Quartettsatz), D. 703	Franz Schubert	String Quartet	1820	5
606	Orpheus	Franz Liszt	Symphonic Poem	1854	5
607	Neue Pizzicato Polka, Op. 449	Johann Strauss II	Unsorted Orchestral	1892	5
608	Piano Sonata No. 6 in A Major, Op. 82	Sergei Prokofiev	Piano Sonata	1940	5
609	La Cenerentola	Gioachino Rossini	Opera	1817	5
610	Orfeo ed Euridice (Orphée et Eurydice), Wq. 30	Christoph Willibald Gluck	Opera	1762	5
611	Karelia Suite, Op. 11	Jean Sibelius	Unsorted Orchestral	1893	5
612	Piano Quartet in A Minor	Gustav Mahler	Piano Quartet	1876	5
613	Keyboard Suites, HWV 426-441	George Frideric Handel	Piano Sonata		5
614	The Gypsy Baron (Der Zigeunerbaron)	Johann Strauss II	Opera	1885	5
615	Sonata for Two Pianos and Percussion, Sz. 110	Béla Bartók	Unsorted Chamber	1937	5
616	Symphony: Mathis der Maler	Paul Hindemith	Symphony	1934	5
617	Piano Concerto No. 5 in F Major (The Egyptian), Op. 103	Camille Saint-Saëns	Piano Concerto	1896	5
618	Sonatine	Maurice Ravel	Piano Sonata	1905	5
619	Pelleas und Melisande, Op. 5	Arnold Schoenberg	Symphonic Poem	1903	5
620	Inventions and Sinfonias (Two- and Three-Part Inventions), BWV 772–801	Johann Sebastian Bach	Piano Sonata		5
621	Prometheus: The Poem of Fire, Op. 60	Alexander Scriabin	Symphonic Poem	1910	5
622	Piano Concerto in G Minor, Op. 33	Antonín Dvořák	Piano Concerto	1876	5
623	Salome, Op. 54	Richard Strauss	Opera	1905	5
624	32 Variations in C minor, WoO 80	Ludwig van Beethoven	Piano Sonata	1806	5
625	Italian Concerto (Italienisches Konzert), BWV 971	Johann Sebastian Bach	Piano Sonata	1735	5
626	String Quintet No. 3 in C Major, K. 515	Wolfgang Amadeus Mozart	String Quintet	1787	5
627	Cello Concerto No. 2 in D Major, Hob. VIIb/2, Op. 101	Joseph Haydn	Cello Concerto	1783	5
628	Lieder eines fahrenden Gesellen (Songs of a Wayfarer)	Gustav Mahler	Lieder / Song	1885	5
629	Symphony No. 2 (Antar)	Nikolai Rimsky-Korsakov	Symphony	1868	5
630	Die Entführung aus dem Serail (The Abduction from the Seraglio), K. 384	Wolfgang Amadeus Mozart	Opera	1782	5
631	Il trittico	Giacomo Puccini	Opera	1918	5
632	Piano Sonata No. 24 in F-sharp Major (à Thérèse), Op. 78	Ludwig van Beethoven	Piano Sonata	1809	5
633	Piano Sonata No. 13 in E-flat Major (Quasi una fantasia), Op. 27 No. 1	Ludwig van Beethoven	Piano Sonata	1801	5
634	Aria Variata alla Maniera Italiana in A Minor, BWV 989	Johann Sebastian Bach	Piano Sonata	1709	5
635	Symphony No. 35 in D Major (Haffner Symphony), K. 385	Wolfgang Amadeus Mozart	Symphony	1782	5
636	Symphony No. 3 (Sinfonia Espansiva), Op. 27, FS 60	Carl Nielsen	Symphony	1911	5
637	String Quartet No. 10 in E-flat Major (Harp), Op. 74	Ludwig van Beethoven	String Quartet	1809	5
638	Piano Sonata No. 3 in B Minor, Op. 58	Frédéric Chopin	Piano Sonata	1844	5
639	L'italiana in Algeri (The Italian Girl in Algiers)	Gioachino Rossini	Opera	1813	5
640	Images, L. 110 & L. 111	Claude Debussy	Piano Sonata	1907	5
641	Harmonielehre	John Adams	Unsorted Orchestral	1985	5
642	Violin Concerto in E Major (L'Amoroso), RV 271	Antonio Vivaldi	Violin Concerto		5
643	La donna del lago	Gioachino Rossini	Opera	1819	5
644	Symphony No. 3 (A Pastoral Symphony)	Ralph Vaughan Williams	Symphony	1922	5
645	Douze Études dans tous les tons mineurs (12 Etudes in All the Minor Keys)	Charles-Valentin Alkan	Piano Sonata	1857	5
646	Symphony No. 5 in D Major	Ralph Vaughan Williams	Symphony	1943	5
647	The Queen of Spades, Op. 68	Pyotr Ilyich Tchaikovsky	Opera	1889	5
648	Piano Sonata No. 12 in A-flat Major, Op. 26	Ludwig van Beethoven	Piano Sonata	1801	5
649	String Quartet No. 5 in A Major, Op. 18 No. 5	Ludwig van Beethoven	String Quartet	1800	5
650	Symphony No. 49 in F Minor (La passione), Hoboken 1/49	Joseph Haydn	Symphony	1768	5
651	Symphony No. 31 in D Major (Paris Symphony), 297/300a	Wolfgang Amadeus Mozart	Symphony	1778	5
652	String Quartet No. 9 in E-flat Major, Op. 117	Dmitri Shostakovich	String Quartet	1964	5
653	Piano Concerto No. 4 in G Minor, Op. 40	Sergei Rachmaninoff	Piano Concerto	1926	5
654	Francesca da Rimini, Op. 32	Pyotr Ilyich Tchaikovsky	Symphonic Poem	1876	5
655	The Prince of the Pagodas	Benjamin Britten	Ballet	1956	5
656	Symphony No. 46 in B Major, Hob. I/46	Joseph Haydn	Symphony	1772	5
657	Piano Sonata No. 13 in B-flat Major, K. 333	Wolfgang Amadeus Mozart	Piano Sonata	1783	5
658	4′33″	John Cage	Piano Sonata	1952	5
659	Variations on a Theme of Chopin, Op. 22	Sergei Rachmaninoff	Piano Sonata	1903	5
660	String Quartet No. 2 in D Minor, JB 1:124	Bedřich Smetana	String Quartet	1883	5
661	Piano Concerto in C-sharp Minor, FP 146	Francis Poulenc	Piano Concerto	1949	5
662	Concerto for Two Pianos (Piano Concerto No. 10), K. 365/316a	Wolfgang Amadeus Mozart	Double Concerto	1777	5
663	Symphony No. 2 (The Four Temperaments), Op. 16, FS 29	Carl Nielsen	Symphony	1902	5
664	Cello Concerto No. 1	Krzysztof Penderecki	Cello Concerto	1972	5
665	Piano Sonata No. 7 in D Major, Op. 10 No. 3	Ludwig van Beethoven	Piano Sonata	1798	5
666	Violin Concerto, Op. 48	Dmitry Kabalevsky	Violin Concerto	1948	5
667	Symphony No. 104 in D Major, H. 1/104	Joseph Haydn	Symphony	1795	5
668	Symphony No. 5 in B-flat Major, D. 485	Franz Schubert	Symphony	1816	5
669	Serenade No. 10 in B-flat Major (Gran Partita), 361/370a	Wolfgang Amadeus Mozart	Unsorted Orchestral	1782	4
670	Piano Trio No. 4 in E Minor (Dumky trio), 90, B. 166	Antonín Dvořák	Piano Trio	1891	4
671	Quintet for Piano and Winds, K. 452	Wolfgang Amadeus Mozart	Piano Quintet	1784	4
672	Kol Nidrei (All Vows), Op. 47	Max Bruch	Cello Concerto	1880	4
673	Piano Trio No. 1 in B Major, Op. 8	Johannes Brahms	Piano Trio	1854	4
674	Nuper rosarum flores	Guillaume DuFay	Chant		4
675	Missa Prolationum	Johannes Ockeghem	Mass / Requiem		4
676	Violin Romance No. 2 in F Major, Op. 50	Ludwig van Beethoven	Violin Concerto	1798	4
677	Images pour orchestre, L. 122	Claude Debussy	Unsorted Orchestral	1912	4
678	Harpsichord conceto No. 5 in F Minor, BWV 1050	Johann Sebastian Bach	Harpsichord conceto	1738	4
679	Je vivroie liement	Guillaume de Machaut	Lieder / Song		4
680	Piano Concerto for the Left Hand in D Major	Maurice Ravel	Piano Concerto	1930	4
681	Clarinet Sonata No. 1 in F Minor, Op. 120	Johannes Brahms	Clarinet Sonata	1894	4
682	Symphony, Op. 21	Anton Webern	Symphony	1928	4
683	String Quartet No. 12 in E-flat Major, Op. 127	Ludwig van Beethoven	String Quartet	1825	4
684	Stabat Mater	Gioachino Rossini	Choral orchestral	1841	4
685	Flute Sonatas, BWV 1030-1035	Johann Sebastian Bach	Flute Sonata		4
686	Piano Concerto No. 3 in E Major, Sz. 119, BB 127	Béla Bartók	Piano Concerto	1945	4
687	Violin Concerto in A Minor, Op. 82	Alexander Glazunov	Violin Concerto	1904	4
688	Piano Sonata No. 7 in B-flat Major (Stalingrad), Op. 83	Sergei Prokofiev	Piano Sonata	1942	4
689	Funeral March in Memory of Rikard Nordraak	Edvard Grieg	Unsorted Orchestral	1866	4
690	Symphony in D Major, G. 521	Luigi Boccherini	Symphony	1790	4
691	Années de pèlerinage (Years of Pilgrimage), S. 160-163	Franz Liszt	Piano Sonata	1835	4
692	Gesänge der Frühe, Op. 133	Robert Schumann	Piano Sonata	1853	4
693	Fantasia on Greensleeves	Ralph Vaughan Williams	Unsorted Orchestral	1934	4
694	Concerto for 2 Harpsichords in C Minor, BWV 1060	Johann Sebastian Bach	Double Concerto		4
695	Konzertstück for 4 Horns and Orchestra, Op. 86	Robert Schumann	Unsorted Orchestral	1849	4
696	The Frog Galliard	John Dowland	String solo		4
697	Piano Concerto No. 3 in B Minor, Op. 89	Johann Nepomuk Hummel	Piano Concerto	1819	4
698	Children's Corner, L. 113	Claude Debussy	Piano Sonata	1908	4
699	Piano Sonata No. 10, Op. 70	Alexander Scriabin	Piano Sonata	1913	4
700	Gurre-Lieder	Arnold Schoenberg	Lieder / Song	1910	4
701	2 Mélodies, Op. 3	Anton Rubinstein	Piano Sonata	1852	4
702	L'estro Armonico, Op. 3	Antonio Vivaldi	Violin Concerto	1711	4
703	Chôros	Heitor Villa-Lobos	Unsorted Orchestral	1929	4
704	Pagliacci	Ruggero Leoncavallo	Opera	1892	4
705	Gesang der Jünglinge	Karlheinz Stockhausen	Unsorted Orchestral	1956	4
706	A trio for piano, clarinet and viola (Kegelstatt Trio), K. 498	Wolfgang Amadeus Mozart	Piano Trio	1786	4
707	String Quartet No. 7 in F Major, Op. 59 No. 1	Ludwig van Beethoven	String Quartet	1808	4
708	Semiramide	Gioachino Rossini	Opera	1823	4
709	Der Tod und das Mädchen, D. 531	Franz Schubert	Lieder / Song	1817	4
710	Symphony No. 2 (A London Symphony)	Ralph Vaughan Williams	Symphony	1913	4
711	Symphony No. 1 in A-flat Major, Op. 55	Edward Elgar	Symphony	1908	4
712	Herz und Mund und Tat und Leben, BWV 147	Johann Sebastian Bach	Choral orchestral	1723	4
713	Quiet City	Aaron Copland	Unsorted Orchestral	1939	4
714	Five Variants of Dives and Lazarus	Ralph Vaughan Williams	Unsorted Orchestral	1939	4
715	Music for Mallet Instruments, Voices and Organ	Steve Reich	Voice and Orchestra	1973	4
716	Requiem in B-flat Minor, Op. 89, B. 165	Antonín Dvořák	Mass / Requiem	1890	4
717	Piano Concerto No. 2, Sz. 95, BB 101	Béla Bartók	Piano Concerto	1931	4
718	4 Klavierstücke (Four Pieces for Piano), Op. 119	Johannes Brahms	Piano Sonata	1893	4
719	L'elisir d'amore (The Elixir of Love)	Gaetano Donizetti	Opera	1832	4
720	Divertimento for String Orchestra, Sz.113 BB.118	Béla Bartók	Unsorted Orchestral	1939	4
721	Drei Klavierstücke, D. 946	Franz Schubert	Piano Sonata	1828	4
722	English Suites, BWV 806-811	Johann Sebastian Bach	Piano Sonata	1715	4
723	Symphony No. 1 in D Minor, Op. 13	Sergei Rachmaninoff	Symphony	1895	4
724	I puritani	Vincenzo Bellini	Opera	1835	4
725	The Wood Nymph, Op. 15	Jean Sibelius	Symphonic Poem	1894	4
726	The Merry Widow (Die lustige Witwe)	Franz Lehár	Opera	1905	4
727	Requiem in D Minor	Luigi Cherubini	Mass / Requiem	1836	4
728	Première rhapsodie, L. 116	Claude Debussy	Clarinet Sonata	1910	4
729	Ballade No. 2 in B Minor, S. 171	Franz Liszt	Piano Sonata	1853	4
730	Ruslan and Lyudmila	Mikhail Glinka	Opera	1842	4
731	Leonore Overture No. 3, Op. 72b	Ludwig van Beethoven	Unsorted Orchestral	1805	4
732	The Three-Cornered Hat (El Sombrero de Tres Picos)	Manuel de Falla	Ballet	1919	4
733	Symphony No. 4, S. 4 (K. 1A4)	Charles Ives	Symphony	1924	4
734	Symphony No. 8 in C Minor, Op. 65	Dmitri Shostakovich	Symphony	1943	4
735	Symphony in E Major	Hans Rott	Symphony	1880	4
736	Piano Concerto No. 4 in C Minor, Op. 44	Camille Saint-Saëns	Piano Concerto	1875	4
737	Violin Sonata No. 1 in F Minor, Op. 80	Sergei Prokofiev	Violin Sonata	1946	4
738	The Bartered Bride (Prodaná nevěsta), JB 1:100	Bedřich Smetana	Opera	1866	4
739	Harmonies poétiques et religieuses, S. 173	Franz Liszt	Piano Sonata	1847	4
740	Violin Concerto, Op. 36	Arnold Schoenberg	Violin Concerto	1936	4
741	Organ in B Minor, Prélude, Fugue et Variation	César Franck	Organ	1862	4
742	Was mir behagt, ist nur die muntre Jagd (Hunting Cantata), BWV 208	Johann Sebastian Bach	Voice and Orchestra	1713	4
